,geometry,power,operator,operator:wikidata,ref,start_date,substation,name,operator:wikipedia,ref:terna,voltage,building,man_made,material,source,building:use,layer,location,substance,alt_name,landuse,plant:method,plant:output:electricity,plant:source,ref:EU:ENTSOE_EIC,wikidata,wikipedia,generator:source,addr:city,addr:housenumber,addr:postcode,addr:street,plant:type,website,name:en,since,utility,city,pipeline,valve,bridge,bridge:structure,direction,industrial,building:levels,building:material,roof:material,roof:shape,generator:method,generator:type,arpav_codice_bacino,arpav_codice_sottobacino,waterway
172,"POLYGON ((12.718794 45.5401959, 12.7187919 45.5401626, 12.7188318 45.5401613, 12.7188339 45.5401947, 12.718794 45.5401959))",substation,e-distribuzione S.p.A.,Q3725215,395282,,,V. Asmara,it:E-distribuzione,,,yes,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
173,"POLYGON ((12.6399861 45.5825701, 12.6403975 45.583056, 12.6401292 45.5834228, 12.6400746 45.5834691, 12.6400161 45.5834916, 12.6399235 45.5835171, 12.6391486 45.5825635, 12.6399861 45.5825701))",plant,,,,,,,,,,,,,,,,surface,,,,photovoltaic,,solar,,,,solar,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,photovoltaic,solar_photovoltaic_panel,,,
174,"POLYGON ((12.641258 45.5209743, 12.6413097 45.5209727, 12.6413122 45.5210112, 12.6412604 45.5210128, 12.641258 45.5209743))",substation,e-distribuzione S.p.A.,Q3725215,542505,,,Cancelli,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
175,"POLYGON ((12.6429381 45.5198592, 12.6429304 45.5198393, 12.643001 45.519826, 12.6430087 45.5198459, 12.6429381 45.5198592))",substation,e-distribuzione S.p.A.,Q3725215,230251,,,Via Pazienti,it:E-distribuzione,,,yes,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
176,"POLYGON ((12.6406948 45.5291089, 12.6406731 45.5290676, 12.6407158 45.5290566, 12.6407375 45.5290979, 12.6406948 45.5291089))",substation,e-distribuzione S.p.A.,Q3725215,206656,,,Basso Sile 2^,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
177,"POLYGON ((12.6059792 45.4957431, 12.6060049 45.4957526, 12.606039 45.4957072, 12.6060132 45.4956977, 12.6059792 45.4957431))",substation,e-distribuzione S.p.A.,Q3725215,,,,,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
178,"POLYGON ((12.6053824 45.4958536, 12.605395 45.495833, 12.6054577 45.495852, 12.605445 45.4958726, 12.6053824 45.4958536))",substation,e-distribuzione S.p.A.,Q3725215,,,,,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
179,"POLYGON ((12.6059308 45.4957269, 12.6059565 45.4957364, 12.6059906 45.495691, 12.6059648 45.4956815, 12.6059308 45.4957269))",substation,e-distribuzione S.p.A.,Q3725215,,,,,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
180,"POLYGON ((12.6507989 45.5088927, 12.6508161 45.5088662, 12.6508209 45.5088678, 12.6508571 45.5088802, 12.6508388 45.5089064, 12.6507989 45.5088927))",substation,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
181,"POLYGON ((12.652688 45.5079908, 12.6527004 45.5079725, 12.6527345 45.5079838, 12.652722 45.5080022, 12.652688 45.5079908))",substation,e-distribuzione S.p.A.,Q3725215,723423,,,Larimar,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
182,"POLYGON ((12.6525392 45.5091601, 12.652559 45.5091349, 12.6525867 45.5091457, 12.6525669 45.5091708, 12.6525392 45.5091601))",substation,e-distribuzione S.p.A.,Q3725215,26332,,,Via Nelson,it:E-distribuzione,,,yes,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
183,"POLYGON ((12.721199 45.5427062, 12.7211976 45.5426725, 12.7212383 45.5426716, 12.7212397 45.5427054, 12.721199 45.5427062))",substation,e-distribuzione S.p.A.,Q3725215,314495,,,V. Toscanelli,it:E-distribuzione,,,service,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
184,"POLYGON ((12.6811108 45.5231926, 12.681133 45.5231537, 12.6811735 45.523165, 12.6811513 45.523204, 12.6811108 45.5231926))",substation,,,,,minor_distribution,,,,,yes,,,,,,surface,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,
185,"LINESTRING (12.1991156 45.200637, 12.1982573 45.2000096)",,,,,,,,,,,,pipeline,,,,1,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,yes,,,,,,,,,,,,
186,"POLYGON ((12.2803438 45.1895985, 12.280331 45.1895351, 12.2803823 45.1894899, 12.2803759 45.189422, 12.2803139 45.1893964, 12.2802967 45.1893391, 12.280408 45.1892033, 12.2806284 45.1890223, 12.2808253 45.1888851, 12.2810799 45.1887795, 12.2812362 45.1887599, 12.2813667 45.1894869, 12.2813346 45.1895125, 12.2803438 45.1895985))",substation,Enel Distribuzione,Q3725215,,,distribution,Brondolo,,VVENBRLV,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,
187,"LINESTRING (12.2285056 45.1850015, 12.2285882 45.1852006)",,,,,,,Canale Barche,,,,,pipeline,,,,,overground,water,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,R001,R001,canal
188,"POLYGON ((12.1872094 45.1787547, 12.1872717 45.1787627, 12.187284 45.1787153, 12.1872217 45.1787073, 12.1872094 45.1787547))",substation,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,
189,"POLYGON ((12.2311856 45.1770947, 12.2308302 45.1762608, 12.2320747 45.1759942, 12.2324824 45.1771656, 12.2311856 45.1770947))",plant,,,,,,,,,,,,,,,,,,,,photovoltaic,yes,solar,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,
190,"POLYGON ((12.1923234 45.2271382, 12.1923257 45.2271219, 12.1923284 45.2271035, 12.1923523 45.2271052, 12.192378 45.2271071, 12.1923755 45.2271245, 12.192373 45.2271417, 12.1923234 45.2271382))",substation,,,,,minor_distribution,,,,,transformer_tower,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,
191,"POLYGON ((12.205233 45.2386162, 12.2052286 45.2385827, 12.2052458 45.2385816, 12.2052644 45.2385804, 12.2052687 45.2386139, 12.205233 45.2386162))",substation,,,,,minor_distribution,,,,,transformer_tower,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,
192,"POLYGON ((12.1968757 45.247223, 12.1968871 45.2471976, 12.1969009 45.2472007, 12.1969187 45.2472046, 12.1969073 45.2472301, 12.1968757 45.247223))",substation,,,,,minor_distribution,,,,,transformer_tower,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,
