Variables,Adjusted R²,AIC
"aquaculture_area_norm, pasture_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.054307234744926824,1053.156400221857
"aquaculture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05421344956559104,1051.2371892440326
"aquaculture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.054195992180536945,1052.2237021598298
"pasture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.054155263171392964,1051.2602591710083
"pasture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05411841315439425,1052.2544600562817
"pasture_area_norm, energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.0540075008855716,1052.2984292624405
"energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05398058182632581,1051.32950886255
"transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05387570371507755,1050.3887197108795
"pasture_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05372758474347272,1053.3861811497359
"farming_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05371848649796518,1054.363794260426
"farming_area_norm, aquaculture_area_norm, energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.053717155745691025,1054.3643216212004
"pasture_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05366083534801935,1051.456234242818
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05361256528112479,1055.376959987946
"farming_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.05361143911978272,1053.4322058836822
"farming_area_norm, aquaculture_area_norm, pasture_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05360783532707747,1054.407641427118
"farming_area_norm, pasture_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05360319004034109,1053.4354745107946
"farming_area_norm, aquaculture_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05357081625264626,1053.4483020717298
"transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.05353148693884435,1049.5400121397256
"farming_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.05351131976047363,1052.4950683922825
"farming_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.053501359411465166,1051.5194234671499
"energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.053463153400791996,1050.5521999734601
"pasture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.05340879664461984,1051.5560947722183
"farming_area_norm, pasture_area_norm, transportation_area_norm, retail_count_norm, road_length_norm, built_area_norm, entropy_landuse",0.05335620009741038,1052.5565219613159
"pasture_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.053356011045724405,1052.5565968515493
"energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05333644981491448,1052.5643456841108
"pasture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_landuse",0.05325007939108484,1050.636606366999
"transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.05322707563361251,1051.6280781570717
"farming_area_norm, pasture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05302387194511471,1052.6881461130797
"farming_area_norm, aquaculture_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05299913762466402,1052.6979407095469
"farming_area_norm, aquaculture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.05296016552776439,1053.690179839537
"farming_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.0529540098128487,1053.6926173141894
"aquaculture_area_norm, pasture_area_norm, energy_area_norm, transportation_area_norm, retail_count_norm, public_services_norm, road_length_norm, built_area_norm, entropy_production, entropy_landuse",0.0528529661592706,1055.6778255815802
"farming_area_norm, energy_area_norm, transportation_area_norm, public_services_norm, road_length_norm, built_area_norm, entropy_landuse",0.052803005715480356,1052.7755983480538
