Intercept,farming_area_norm,aquaculture_area_norm,pasture_area_norm,energy_area_norm,transportation_area_norm,retail_count_norm,public_services_norm,waste_treatment_norm,road_length_norm,built_area_norm,entropy_production,entropy_landuse,R2_local
0.05598116966959895,0.1428254521116128,0.019968558879704574,-0.11832756953930086,-0.006997269205616051,0.010097465057514588,-0.2920684622172185,0.3355428532125426,0.039500175707158136,-0.04049815299217047,0.016627505661693583,0.030633635223861068,0.007701478706143052,0.6312575663803578
0.054486501935513125,0.14106775662738413,0.02165496771844113,-0.12337270694214418,-0.006934390610940947,0.007046023305810784,-0.2898836968380449,0.3283462517977602,0.039559692530055854,-0.041330076332897814,0.02626051334586238,0.03481500881091901,0.006423710291995093,0.6259041794863837
0.05584116355674196,0.13658045588419032,0.02385700887360781,-0.11999293042563372,-0.008627515410231478,0.0031289219151224546,-0.2892174198814622,0.32258313316978104,0.040693837359062256,-0.04754257306560766,0.04086148618707901,0.038040177239354135,0.004091199457464697,0.6193142328445346
0.07740917367423253,0.05970265128687925,0.013576917717456958,-0.017169997461289253,-0.07094599948229162,-0.011002902685452742,-0.28131509835566254,0.2945067887039548,0.10628290883155017,-0.13701185747190692,0.15433746046230923,0.007037828009517872,0.027646528764621085,0.6474669696702198
0.06903012125681048,0.09184879501603252,0.01413374988348937,-0.051974951024655804,-0.04467005025653448,0.0007208101388497638,-0.30088248227256337,0.320270966707036,0.07649767054091483,-0.08547688376814036,0.08355910383128026,0.014321459415662117,0.017598901223263637,0.6503988086706518
0.06111935675316233,0.12829156050625176,0.01638638644823366,-0.09760830825354468,-0.017514696617448297,0.008688143724724547,-0.296164478720903,0.3344752230633622,0.0494919830794158,-0.050951752202140536,0.0287421510404811,0.02487796928616153,0.010981998786920614,0.6426396623310893
0.05465916330272245,0.1439608560068445,0.01932446589943413,-0.1256312301979005,-0.007338385417249172,0.012083606536973917,-0.29185139417034656,0.33649283290547566,0.04065347273371478,-0.03315877771571918,0.007028469769039687,0.032956489224539344,0.009481095775882213,0.6348367354822789
0.054835323954552755,0.13777583861856957,0.02054604018719126,-0.12244515434923323,-0.008713659417804496,0.006882112821448886,-0.2899044789457238,0.32639397568101314,0.041213037596420664,-0.04015292498595216,0.026119045068471083,0.0356253237458887,0.007488559210093279,0.6287075799517656
0.05642260038169903,0.13081974571076432,0.02256299667069778,-0.11623475750491923,-0.011151756085777845,0.0019586965656887547,-0.29012647019233917,0.3199868953614972,0.04280073693023413,-0.04886135799325098,0.04468446872182512,0.03880143474261109,0.005092081156696888,0.6209902706762891
0.0569970187436967,0.12380158667151095,0.02513644415893745,-0.1117316532703315,-0.013796719421668935,-0.0019042472124706348,-0.2906361571967152,0.31558854921142726,0.04502298069028459,-0.05563519529649058,0.0588998344448194,0.04170884136985854,0.004228284068455419,0.6128134876552684
0.07818210146162476,0.054817112354007866,0.012332995814896544,-0.013838166930154354,-0.07701763772506198,-0.012807865350325538,-0.2776956179371683,0.26594981059920936,0.11065385199745426,-0.13132852423564265,0.17053646569126685,0.006366320286748107,0.024327054478576936,0.6506980563766951
0.0701217631037882,0.09157057534078576,0.01271935353903909,-0.05418747161147675,-0.048204810044444414,0.0021190656093566366,-0.29760761318087686,0.3129513057636673,0.08014320715677627,-0.07801754115824598,0.08125625709854443,0.015115698039879149,0.016162609823872933,0.6564643401958526
0.06174553993002949,0.12774459585428796,0.014675248834813638,-0.10156821437783586,-0.01959908822340393,0.010142035005231132,-0.2926230296939624,0.3287692651249105,0.05171849111980906,-0.04293533023267007,0.02284925804483842,0.026216308319836,0.011030218528402828,0.6488181531493438
0.05476623818872936,0.14090532059906277,0.017595469514284087,-0.12806089731812603,-0.009608902126298937,0.01275262421449139,-0.2898295786275082,0.3329943043424398,0.04325655812622704,-0.028783550952434823,0.003039386935291967,0.03402312276529657,0.011794143132302846,0.6399461191921035
0.05599226472088878,0.13271680547749712,0.018987642232055898,-0.11942935477514133,-0.01128824485836145,0.00627486732769922,-0.289291882894659,0.3231259666036617,0.043447181898553414,-0.04020752526221426,0.02777092326458898,0.036255584946145454,0.008702286666566047,0.631544951287823
0.057371322920096,0.1254205082177061,0.021545478363336226,-0.1131921547082748,-0.013899065920659173,0.0010426856414202678,-0.28975372479872413,0.31677095762934915,0.04519523765483224,-0.049237032383537424,0.04750951971226399,0.040273513194340214,0.005676664428445597,0.6223959126263403
0.05714906026816947,0.11468525849284575,0.0238395367145804,-0.10632643367878183,-0.017482400615219832,-0.003522320096286263,-0.29231075617428515,0.31314116189690294,0.04827234464713587,-0.0583428447026217,0.06422298642325885,0.04284843053221966,0.006403306317492152,0.6114873132115679
0.0947670289881011,0.018617371077858328,0.019264166687686893,0.009149651013382862,-0.1611016704303831,0.004626856957044359,-0.08484837416853513,-0.07949023770993817,0.19059044966164118,-0.11732503542522088,0.33348624263531573,-0.005871935240155845,0.014363007079870677,0.5522149865380126
0.09392759238025607,0.018856152963160896,0.01836647979557656,0.009405485801212064,-0.15649345804459586,0.00010966779231854837,-0.10467388470018929,-0.046803652935553,0.18724023424900457,-0.12338043604798582,0.3265139778482943,-0.004801729026268024,0.01581960960863807,0.5627463188820933
0.09284053552708939,0.01967327818890285,0.017151478951036258,0.009485307564582768,-0.15014764088572868,-0.005150083929803248,-0.12995257281098904,-0.004803301128096016,0.18246272182643264,-0.13145755626227093,0.31682256730730923,-0.003413223209068176,0.017783257456000727,0.5772104876827792
